seed,variant,model,pct_concordance
43,random_100,Komagataella_pastoris,41.5385
43,random_100,Lipomyces_starkeyi,44.2737
43,random_100,Neurospora_crassa,45.8345
43,random_100,Pachysolen_tannophilus,45.0827
43,random_100,Saccharomycopsis_malanga,43.6174
43,random_100,Sporopachydermia_quercuum,41.8554
43,random_100,Tortispora_caseinolytica,42.3633
43,random_100,Torulaspora_delbrueckii,40.0763
43,random_100,Wickerhamomyces_ciferrii,44.8993
43,random_100,Yarrowia_deformans,45.4863
44,random_0,Alloascoidea_hylecoeti,59.2473
44,random_0,Debaryomyces_hansenii,57.4595
44,random_0,Hanseniaspora_vinae,56.7414
44,random_0,Komagataella_pastoris,57.9849
44,random_0,Lipomyces_starkeyi,68.4966
44,random_0,Neurospora_crassa,70.1315
44,random_0,Pachysolen_tannophilus,57.9231
44,random_0,Saccharomycopsis_malanga,67.9332
44,random_0,Sporopachydermia_quercuum,60.8451
44,random_0,Tortispora_caseinolytica,60.5449
44,random_0,Torulaspora_delbrueckii,67.8223
44,random_0,Wickerhamomyces_ciferrii,61.2063
44,random_0,Yarrowia_deformans,63.357
44,random_25,Alloascoidea_hylecoeti,51.0265
44,random_25,Debaryomyces_hansenii,58.6578
44,random_25,Hanseniaspora_vinae,51.8587
44,random_25,Komagataella_pastoris,58.5518
44,random_25,Lipomyces_starkeyi,60.4123
44,random_25,Neurospora_crassa,61.4542
44,random_25,Pachysolen_tannophilus,52.2288
44,random_25,Saccharomycopsis_malanga,59.6561
44,random_25,Sporopachydermia_quercuum,59.9338
44,random_25,Tortispora_caseinolytica,54.0758
44,random_25,Torulaspora_delbrueckii,59.1006
44,random_25,Wickerhamomyces_ciferrii,59.794
44,random_25,Yarrowia_deformans,59.9953
44,random_50,Alloascoidea_hylecoeti,54.0082
44,random_50,Debaryomyces_hansenii,52.8824
44,random_50,Hanseniaspora_vinae,53.0038
44,random_50,Komagataella_pastoris,52.9806
44,random_50,Lipomyces_starkeyi,53.6695
44,random_50,Neurospora_crassa,54.8748
44,random_50,Pachysolen_tannophilus,53.512
44,random_50,Saccharomycopsis_malanga,46.2574
44,random_50,Sporopachydermia_quercuum,46.9737
44,random_50,Tortispora_caseinolytica,54.5413
44,random_50,Torulaspora_delbrueckii,53.261
44,random_50,Wickerhamomyces_ciferrii,53.4081
44,random_50,Yarrowia_deformans,53.5538
44,random_75,Alloascoidea_hylecoeti,44.8243
44,random_75,Debaryomyces_hansenii,42.6357
44,random_75,Hanseniaspora_vinae,48.7474
44,random_75,Komagataella_pastoris,44.6019
44,random_75,Lipomyces_starkeyi,49.0363
44,random_75,Neurospora_crassa,45.765
44,random_75,Pachysolen_tannophilus,43.1951
44,random_75,Saccharomycopsis_malanga,44.2449
44,random_75,Sporopachydermia_quercuum,43.2681
44,random_75,Tortispora_caseinolytica,45.6066
44,random_75,Torulaspora_delbrueckii,41.8654
44,random_75,Wickerhamomyces_ciferrii,48.9992
44,random_75,Yarrowia_deformans,49.4712
44,random_100,Alloascoidea_hylecoeti,41.3789
44,random_100,Debaryomyces_hansenii,44.7181
44,random_100,Hanseniaspora_vinae,39.073
