seed,variant,model,n_complexes,n_reactions,n_metabolites,balanced,trivially_balanced,trivially_concordant,concordant_pairs_total,kinetic_modules,singleton_modules,multi_complex_modules,largest_module_size,acr_metabolites
44,random_100,Neurospora_crassa,35236.0,57230.0,16432.0,9303.0,6674.0,4778.0,26245.0,28315.0,24906.0,3409.0,3474.0,185.0
44,random_100,Pachysolen_tannophilus,31396.0,52414.0,14804.0,8434.0,6244.0,4151.0,19715.0,25106.0,22293.0,2813.0,3448.0,182.0
44,random_100,Saccharomycopsis_malanga,34719.0,59890.0,16097.0,9166.0,6851.0,4469.0,19645.0,27796.0,24828.0,2968.0,3920.0,206.0
44,random_100,Sporopachydermia_quercuum,29934.0,49722.0,14131.0,7999.0,5864.0,3976.0,17616.0,23956.0,21270.0,2686.0,3262.0,169.0
44,random_100,Tortispora_caseinolytica,22536.0,37403.0,10718.0,5953.0,4380.0,3023.0,16685.0,18231.0,16203.0,2028.0,2259.0,132.0
44,random_100,Torulaspora_delbrueckii,28050.0,46885.0,13284.0,7679.0,5637.0,3708.0,22413.0,22377.0,19705.0,2672.0,2972.0,174.0
44,random_100,Wickerhamomyces_ciferrii,34976.0,58007.0,16402.0,9532.0,7024.0,4638.0,25165.0,28040.0,24736.0,3304.0,3595.0,203.0
44,random_100,Yarrowia_deformans,31552.0,51666.0,14802.0,8577.0,6239.0,4206.0,22537.0,25371.0,22141.0,3230.0,2910.0,149.0
44,random_25,Alloascoidea_hylecoeti,30151.0,45061.0,16093.0,8325.0,7478.0,5628.0,64553.0,23816.0,22176.0,1640.0,4696.0,227.0
44,random_25,Debaryomyces_hansenii,23320.0,35362.0,12543.0,6356.0,5624.0,4283.0,58483.0,19036.0,18386.0,650.0,3636.0,195.0
44,random_25,Hanseniaspora_vinae,18319.0,27753.0,9955.0,4939.0,4416.0,3413.0,51260.0,14484.0,13516.0,968.0,2868.0,197.0
44,random_25,Komagataella_pastoris,17359.0,25960.0,9513.0,4644.0,4102.0,3249.0,54136.0,13765.0,12871.0,894.0,2686.0,155.0
44,random_25,Lipomyces_starkeyi,21004.0,31339.0,11543.0,5607.0,5026.0,4076.0,57114.0,16645.0,15659.0,986.0,3374.0,189.0
44,random_25,Neurospora_crassa,22996.0,33362.0,12498.0,5966.0,5267.0,4618.0,53658.0,18344.0,17177.0,1167.0,3466.0,183.0
44,random_25,Pachysolen_tannophilus,21245.0,31970.0,11590.0,5719.0,5083.0,4006.0,48081.0,16747.0,15697.0,1050.0,3445.0,180.0
44,random_25,Saccharomycopsis_malanga,22742.0,35034.0,12366.0,6148.0,5574.0,4260.0,59853.0,17845.0,16866.0,979.0,3916.0,204.0
44,random_25,Sporopachydermia_quercuum,19937.0,29866.0,10930.0,5286.0,4717.0,3866.0,55882.0,15752.0,14821.0,931.0,3252.0,164.0
44,random_25,Tortispora_caseinolytica,15445.0,23059.0,8462.0,4036.0,3579.0,2991.0,48785.0,12370.0,11557.0,813.0,2256.0,130.0
44,random_25,Torulaspora_delbrueckii,18856.0,28503.0,10345.0,5095.0,4534.0,3653.0,55604.0,14919.0,13944.0,975.0,2963.0,169.0
44,random_25,Wickerhamomyces_ciferrii,23499.0,34935.0,12777.0,6412.0,5688.0,4452.0,63050.0,18590.0,17284.0,1306.0,3591.0,201.0
44,random_25,Yarrowia_deformans,21355.0,31654.0,11511.0,5559.0,4945.0,4158.0,63569.0,17135.0,15816.0,1319.0,2902.0,145.0
44,random_50,Alloascoidea_hylecoeti,35452.0,55191.0,17784.0,9742.0,8096.0,5759.0,52036.0,28195.0,25658.0,2537.0,4705.0,231.0
44,random_50,Debaryomyces_hansenii,26939.0,42622.0,13690.0,7339.0,6049.0,4331.0,40180.0,22161.0,21017.0,1144.0,3636.0,195.0
44,random_50,Hanseniaspora_vinae,21223.0,33507.0,10867.0,5696.0,4736.0,3420.0,40794.0,16864.0,15387.0,1477.0,2873.0,200.0
44,random_50,Komagataella_pastoris,20130.0,31294.0,10417.0,5451.0,4439.0,3270.0,43176.0,16031.0,14641.0,1390.0,2689.0,157.0
44,random_50,Lipomyces_starkeyi,24731.0,38307.0,12752.0,6643.0,5446.0,4063.0,43268.0,19686.0,18028.0,1658.0,3384.0,193.0
44,random_50,Neurospora_crassa,26996.0,40718.0,13804.0,7076.0,5727.0,4657.0,44247.0,21575.0,19646.0,1929.0,3470.0,185.0
