Complex,Yeast_Balanced,Yeast_Concordant,Yeast_Singleton,Yeast_Total,Yeast_Dominant,Yeast_Score,Outgroup_Balanced,Outgroup_Concordant,Outgroup_Singleton,Outgroup_Total,Outgroup_Dominant,Outgroup_Score
M_s_2789__91__erm__93__+M_s_2934__91__erm__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_0794__91__c__93__+M_s_0969__91__c__93__,0,4,328,332,Singleton,0.9879518072289156,0,1,10,11,Singleton,0.9090909090909091
M_s_0394__91__c__93__+M_s_0539__91__c__93__+2_M_s_0794__91__c__93__+M_s_0991__91__c__93__+M_s_1322__91__c__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_3146__91__gm__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_0455__91__c__93__+M_s_1266__91__c__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_2785__91__erm__93__+M_s_3020__91__erm__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_0794__91__c__93__+M_s_1266__91__c__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_2819__91__erm__93__+M_s_2935__91__erm__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_0376__91__m__93__+M_s_0460__91__m__93__+M_s_1205__91__m__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_0304__91__c__93__+M_s_0803__91__c__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_2819__91__erm__93__+M_s_2968__91__erm__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_0056__91__c__93__+M_s_0991__91__c__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_2785__91__erm__93__+M_s_3039__91__erm__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_0434__91__c__93__+M_s_0803__91__c__93__+M_s_0999__91__c__93__+M_s_1559__91__c__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_2785__91__erm__93__+M_s_2954__91__erm__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_2785__91__erm__93__+M_s_2957__91__erm__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_0120__91__c__93__+M_s_0794__91__c__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_0180__91__c__93__+M_s_0524__91__m__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_2785__91__erm__93__+M_s_2935__91__erm__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_0532__91__m__93__+M_s_1200__91__m__93__+M_s_1401__91__m__93__,0,4,328,332,Singleton,0.9879518072289156,0,0,11,11,Singleton,1.0
M_s_0394__91__c__93__+M_s_0794__91__c__93__+M_s_1271__91__c__93__+M_s_1322__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_2785__91__erm__93__+M_s_2936__91__erm__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0423__91__c__93__+M_s_0794__91__c__93__+M_s_1386__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0434__91__c__93__+M_s_0445__91__c__93__+M_s_1399__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0182__91__m__93__+M_s_0460__91__m__93__+M_s_1214__91__m__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_2819__91__erm__93__+M_s_2934__91__erm__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0291__91__c__93__+M_s_0991__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0178__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0526__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0394__91__c__93__+M_s_1616__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_1014__91__c__93__+M_s_1207__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_2821__91__erm__93__+M_s_2934__91__erm__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0434__91__c__93__+M_s_0722__91__c__93__+M_s_1487__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0373__91__c__93__+M_s_0423__91__c__93__+M_s_0633__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0180__91__c__93__+M_s_1016__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0394__91__c__93__+M_s_0794__91__c__93__+M_s_1101__91__c__93__+M_s_1322__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0373__91__c__93__+M_s_0434__91__c__93__+M_s_0445__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0120__91__c__93__+M_s_0394__91__c__93__+M_s_1322__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0434__91__c__93__+M_s_1408__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0394__91__c__93__+M_s_0785__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0122__91__c__93__+3_M_s_0794__91__c__93__+3_M_s_1212__91__c__93__+3_M_s_1275__91__c__93__,0,327,5,332,Concordant,0.9849397590361446,0,11,0,11,Concordant,1.0
M_s_0179__91__m__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0362__91__c__93__+M_s_0434__91__c__93__+M_s_0529__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_1153__91__c__93__,0,327,5,332,Concordant,0.9849397590361446,0,8,3,11,Concordant,0.7272727272727273
M_s_0180__91__c__93__+M_s_1021__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_1377__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0434__91__c__93__+M_s_0739__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0515__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0794__91__c__93__+M_s_0978__91__c__93__+M_s_1212__91__c__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_0061__91__c__93__+M_s_0803__91__c__93__,0,327,5,332,Concordant,0.9849397590361446,0,11,0,11,Concordant,1.0
M_s_2785__91__erm__93__+M_s_2938__91__erm__93__,0,5,327,332,Singleton,0.9849397590361446,0,0,11,11,Singleton,1.0
M_s_2785__91__erm__93__+M_s_2960__91__erm__93__,0,6,326,332,Singleton,0.9819277108433735,0,0,11,11,Singleton,1.0
M_s_1543__91__c__93__,0,6,326,332,Singleton,0.9819277108433735,0,0,11,11,Singleton,1.0
M_s_0394__91__c__93__+M_s_0467__91__c__93__,0,6,326,332,Singleton,0.9819277108433735,0,0,11,11,Singleton,1.0
2_M_s_2808__91__erm__93__+M_s_2819__91__erm__93__+M_s_2820__91__erm__93__,0,6,326,332,Singleton,0.9819277108433735,0,0,11,11,Singleton,1.0
M_s_3083__91__erm__93__,0,6,326,332,Singleton,0.9819277108433735,0,0,11,11,Singleton,1.0
M_s_0376__91__m__93__+M_s_0807__91__m__93__+M_s_1273__91__m__93__,0,6,326,332,Singleton,0.9819277108433735,0,0,11,11,Singleton,1.0
M_s_0557__91__c__93__+M_s_1322__91__c__93__,0,6,326,332,Singleton,0.9819277108433735,0,0,11,11,Singleton,1.0
M_s_0434__91__c__93__+M_s_0526__91__c__93__,0,6,326,332,Singleton,0.9819277108433735,0,0,11,11,Singleton,1.0
M_s_0800__91__n__93__,0,6,326,332,Singleton,0.9819277108433735,0,0,11,11,Singleton,1.0
M_s_0524__91__m__93__+M_s_0532__91__m__93__+M_s_0799__91__m__93__,0,6,326,332,Singleton,0.9819277108433735,0,0,11,11,Singleton,1.0
M_s_0551__91__c__93__+M_s_0581__91__c__93__,0,6,326,332,Singleton,0.9819277108433735,0,0,11,11,Singleton,1.0
M_s_0361__91__m__93__,0,6,326,332,Singleton,0.9819277108433735,0,1,10,11,Singleton,0.9090909090909091
M_s_0796__91__e__93__+M_s_0982__91__e__93__,0,6,326,332,Singleton,0.9819277108433735,0,0,11,11,Singleton,1.0
M_s_2783__91__erm__93__+M_s_2789__91__erm__93__+M_s_2817__91__erm__93__+M_s_2818__91__erm__93__,0,6,326,332,Singleton,0.9819277108433735,0,0,11,11,Singleton,1.0
M_s_2819__91__erm__93__+M_s_2938__91__erm__93__,0,6,326,332,Singleton,0.9819277108433735,0,0,11,11,Singleton,1.0
M_s_2957__91__erm__93__,0,6,326,332,Singleton,0.9819277108433735,0,0,11,11,Singleton,1.0
M_s_0394__91__c__93__+M_s_1559__91__c__93__,0,6,326,332,Singleton,0.9819277108433735,0,0,11,11,Singleton,1.0
M_s_0557__91__c__93__+M_s_0764__91__c__93__,0,6,326,332,Singleton,0.9819277108433735,0,0,11,11,Singleton,1.0
M_s_0434__91__c__93__+M_s_1538__91__c__93__,0,6,326,332,Singleton,0.9819277108433735,0,0,11,11,Singleton,1.0
M_s_0773__91__c__93__+M_s_0794__91__c__93__+M_s_1538__91__c__93__,0,7,325,332,Singleton,0.9789156626506024,0,1,10,11,Singleton,0.9090909090909091
M_s_2783__91__erm__93__+M_s_2959__91__erm__93__+M_s_3083__91__erm__93__,0,7,325,332,Singleton,0.9789156626506024,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2848__91__lp__93__+M_s_3051__91__lp__93__,0,7,325,332,Singleton,0.9789156626506024,0,0,11,11,Singleton,1.0
M_s_3108__91__erm__93__,0,7,325,332,Singleton,0.9789156626506024,0,0,11,11,Singleton,1.0
M_s_0803__91__c__93__+M_s_0999__91__c__93__+M_s_1386__91__c__93__,0,325,7,332,Concordant,0.9789156626506024,0,11,0,11,Concordant,1.0
M_s_0803__91__c__93__+M_s_1543__91__c__93__,0,7,325,332,Singleton,0.9789156626506024,0,0,11,11,Singleton,1.0
M_s_2955__91__erm__93__,0,7,325,332,Singleton,0.9789156626506024,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2848__91__lp__93__+M_s_3047__91__lp__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_0797__91__g__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_0437__91__m__93__+2_M_s_0799__91__m__93__+M_s_0807__91__m__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_0582__91__c__93__+M_s_0803__91__c__93__+M_s_1620__91__c__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2852__91__lp__93__+M_s_3057__91__lp__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_0397__91__m__93__+3_M_s_0794__91__c__93__+M_s_1326__91__m__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_0522__91__c__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_0180__91__c__93__+M_s_0419__91__c__93__+M_s_0794__91__c__93__+M_s_1203__91__c__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_0028__91__c__93__+M_s_0529__91__c__93__+2_M_s_1207__91__c__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2848__91__lp__93__+M_s_3043__91__lp__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2852__91__lp__93__+M_s_3043__91__lp__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_3164__91__vm__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_0803__91__c__93__+M_s_0991__91__c__93__+M_s_1198__91__c__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_0803__91__c__93__+M_s_3580__91__c__93__,0,8,324,332,Singleton,0.9759036144578314,0,1,10,11,Singleton,0.9090909090909091
M_s_0162__91__c__93__,8,324,0,332,Concordant,0.9759036144578314,0,11,0,11,Concordant,1.0
M_s_0941__91__m__93__+M_s_1210__91__m__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_0394__91__c__93__+2_M_s_0797__91__g__93__+M_s_1322__91__c__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_3710__91__erm__93__,0,8,324,332,Singleton,0.9759036144578314,0,1,10,11,Singleton,0.9090909090909091
M_s_0798__91__lp__93__+M_s_2846__91__lp__93__+M_s_3049__91__lp__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_0539__91__c__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_2783__91__erm__93__+M_s_2961__91__erm__93__+M_s_3083__91__erm__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_0060__91__m__93__,0,8,324,332,Singleton,0.9759036144578314,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2846__91__lp__93__+M_s_3051__91__lp__93__,0,9,323,332,Singleton,0.9728915662650602,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2848__91__lp__93__+M_s_3057__91__lp__93__,0,9,323,332,Singleton,0.9728915662650602,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2852__91__lp__93__+M_s_3053__91__lp__93__,0,9,323,332,Singleton,0.9728915662650602,0,0,11,11,Singleton,1.0
M_s_0180__91__c__93__+M_s_0456__91__c__93__+M_s_1212__91__c__93__,0,9,323,332,Singleton,0.9728915662650602,0,0,11,11,Singleton,1.0
M_s_0218__91__c__93__+2_M_s_0794__91__c__93__+2_M_s_1212__91__c__93__,0,9,323,332,Singleton,0.9728915662650602,0,0,11,11,Singleton,1.0
M_s_0940__91__c__93__,0,9,323,332,Singleton,0.9728915662650602,0,0,11,11,Singleton,1.0
M_s_0633__91__c__93__+M_s_0743__91__c__93__,0,323,9,332,Concordant,0.9728915662650602,0,10,1,11,Concordant,0.9090909090909091
M_s_0798__91__lp__93__+M_s_2852__91__lp__93__+M_s_3055__91__lp__93__,0,9,323,332,Singleton,0.9728915662650602,0,0,11,11,Singleton,1.0
M_s_0794__91__c__93__+M_s_1377__91__c__93__,0,9,323,332,Singleton,0.9728915662650602,0,3,8,11,Singleton,0.7272727272727273
M_s_2837__91__erm__93__,0,9,323,332,Singleton,0.9728915662650602,0,0,11,11,Singleton,1.0
M_s_2839__91__erm__93__,0,9,323,332,Singleton,0.9728915662650602,0,0,11,11,Singleton,1.0
M_s_1538__91__c__93__,0,10,322,332,Singleton,0.9698795180722891,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2848__91__lp__93__+M_s_3049__91__lp__93__,0,10,322,332,Singleton,0.9698795180722891,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2846__91__lp__93__+M_s_3055__91__lp__93__,0,10,322,332,Singleton,0.9698795180722891,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2846__91__lp__93__+M_s_3047__91__lp__93__,0,10,322,332,Singleton,0.9698795180722891,0,0,11,11,Singleton,1.0
M_s_2836__91__erm__93__,0,10,322,332,Singleton,0.9698795180722891,0,0,11,11,Singleton,1.0
M_s_2821__91__erm__93__,0,10,322,332,Singleton,0.9698795180722891,0,0,11,11,Singleton,1.0
M_s_2853__91__lp__93__,0,10,322,332,Singleton,0.9698795180722891,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2850__91__lp__93__+M_s_3051__91__lp__93__,0,10,322,332,Singleton,0.9698795180722891,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2852__91__lp__93__+M_s_3047__91__lp__93__,0,10,322,332,Singleton,0.9698795180722891,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2848__91__lp__93__+M_s_3045__91__lp__93__,0,10,322,332,Singleton,0.9698795180722891,0,0,11,11,Singleton,1.0
M_s_2838__91__erm__93__,0,10,322,332,Singleton,0.9698795180722891,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2852__91__lp__93__+M_s_3051__91__lp__93__,0,10,322,332,Singleton,0.9698795180722891,0,0,11,11,Singleton,1.0
M_s_0629__91__c__93__+M_s_0764__91__c__93__,0,10,322,332,Singleton,0.9698795180722891,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2850__91__lp__93__+M_s_3047__91__lp__93__,0,10,322,332,Singleton,0.9698795180722891,0,0,11,11,Singleton,1.0
M_s_2819__91__erm__93__,0,11,321,332,Singleton,0.9668674698795181,0,1,10,11,Singleton,0.9090909090909091
M_s_0798__91__lp__93__+M_s_2850__91__lp__93__+M_s_3045__91__lp__93__,0,11,321,332,Singleton,0.9668674698795181,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2850__91__lp__93__+M_s_3055__91__lp__93__,0,11,321,332,Singleton,0.9668674698795181,0,0,11,11,Singleton,1.0
M_s_2849__91__lp__93__,0,11,321,332,Singleton,0.9668674698795181,0,1,10,11,Singleton,0.9090909090909091
M_s_0456__91__c__93__+M_s_1545__91__c__93__,0,321,11,332,Concordant,0.9668674698795181,0,11,0,11,Concordant,1.0
M_s_0798__91__lp__93__+M_s_2846__91__lp__93__+M_s_3057__91__lp__93__,0,11,321,332,Singleton,0.9668674698795181,0,0,11,11,Singleton,1.0
M_s_0803__91__c__93__+M_s_3577__91__c__93__,0,11,321,332,Singleton,0.9668674698795181,0,1,10,11,Singleton,0.9090909090909091
M_s_0798__91__lp__93__+M_s_2850__91__lp__93__+M_s_3049__91__lp__93__,0,11,321,332,Singleton,0.9668674698795181,0,0,11,11,Singleton,1.0
M_s_0182__91__m__93__+M_s_0522__91__c__93__,0,11,321,332,Singleton,0.9668674698795181,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2852__91__lp__93__+M_s_3049__91__lp__93__,0,12,320,332,Singleton,0.963855421686747,0,0,11,11,Singleton,1.0
0.863119982_M_s_0089__91__c__93__+0.56493352_M_s_3743__91__c__93__,0,12,320,332,Singleton,0.963855421686747,0,2,9,11,Singleton,0.8181818181818182
M_s_0373__91__c__93__+21_M_s_0794__91__c__93__+7_M_s_1101__91__c__93__+14_M_s_1212__91__c__93__,0,12,320,332,Singleton,0.963855421686747,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2848__91__lp__93__+M_s_3053__91__lp__93__,0,12,320,332,Singleton,0.963855421686747,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2850__91__lp__93__+M_s_3057__91__lp__93__,0,12,320,332,Singleton,0.963855421686747,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2850__91__lp__93__+M_s_3043__91__lp__93__,0,12,320,332,Singleton,0.963855421686747,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2846__91__lp__93__+M_s_3043__91__lp__93__,0,12,320,332,Singleton,0.963855421686747,0,0,11,11,Singleton,1.0
M_s_2783__91__erm__93__+M_s_2957__91__erm__93__+M_s_3083__91__erm__93__,0,12,320,332,Singleton,0.963855421686747,0,0,11,11,Singleton,1.0
M_s_0940__91__c__93__+M_s_1207__91__c__93__,0,12,320,332,Singleton,0.963855421686747,0,0,11,11,Singleton,1.0
0.865135862_M_s_0089__91__c__93__+0.28448264_M_s_3742__91__c__93__+0.28246676_M_s_3743__91__c__93__,1,11,320,332,Singleton,0.963855421686747,0,3,8,11,Singleton,0.7272727272727273
M_s_0924__91__c__93__,320,12,0,332,Balanced,0.963855421686747,11,0,0,11,Balanced,1.0
M_s_1269__91__c__93__+M_s_1386__91__c__93__,0,319,13,332,Concordant,0.9608433734939759,0,10,1,11,Concordant,0.9090909090909091
M_s_0794__91__c__93__+M_s_0991__91__c__93__,0,13,319,332,Singleton,0.9608433734939759,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2846__91__lp__93__+M_s_3045__91__lp__93__,0,14,318,332,Singleton,0.9578313253012049,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2848__91__lp__93__+M_s_3055__91__lp__93__,0,14,318,332,Singleton,0.9578313253012049,0,0,11,11,Singleton,1.0
M_s_0434__91__c__93__+M_s_1386__91__c__93__,0,318,14,332,Concordant,0.9578313253012049,0,11,0,11,Concordant,1.0
M_s_3711__91__erm__93__,0,14,318,332,Singleton,0.9578313253012049,0,0,11,11,Singleton,1.0
M_s_0803__91__c__93__+M_s_3578__91__c__93__,0,14,318,332,Singleton,0.9578313253012049,0,1,10,11,Singleton,0.9090909090909091
M_s_0515__91__c__93__+M_s_1322__91__c__93__,0,318,14,332,Concordant,0.9578313253012049,0,10,1,11,Concordant,0.9090909090909091
M_s_0456__91__c__93__+M_s_0803__91__c__93__+M_s_0951__91__c__93__,0,15,317,332,Singleton,0.9548192771084337,0,8,3,11,Concordant,0.7272727272727273
M_s_1275__91__c__93__+M_s_1416__91__c__93__+M_s_1569__91__c__93__,0,15,317,332,Singleton,0.9548192771084337,0,1,10,11,Singleton,0.9090909090909091
M_s_0394__91__c__93__+M_s_0555__91__c__93__+M_s_0794__91__c__93__,0,15,317,332,Singleton,0.9548192771084337,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2852__91__lp__93__+M_s_3045__91__lp__93__,0,15,317,332,Singleton,0.9548192771084337,0,0,11,11,Singleton,1.0
M_s_0803__91__c__93__+M_s_3582__91__c__93__,0,15,317,332,Singleton,0.9548192771084337,0,1,10,11,Singleton,0.9090909090909091
M_s_2834__91__erm__93__+M_s_3091__91__erm__93__,0,16,316,332,Singleton,0.9518072289156626,0,0,11,11,Singleton,1.0
M_s_3091__91__erm__93__+M_s_3117__91__erm__93__,0,16,316,332,Singleton,0.9518072289156626,0,0,11,11,Singleton,1.0
M_s_0467__91__c__93__+M_s_1616__91__c__93__,0,16,316,332,Singleton,0.9518072289156626,0,0,11,11,Singleton,1.0
M_s_0515__91__c__93__+M_s_0999__91__c__93__,0,16,316,332,Singleton,0.9518072289156626,0,0,11,11,Singleton,1.0
M_s_0803__91__c__93__+M_s_3579__91__c__93__,0,16,316,332,Singleton,0.9518072289156626,0,1,10,11,Singleton,0.9090909090909091
M_s_0798__91__lp__93__+M_s_2846__91__lp__93__+M_s_3053__91__lp__93__,0,16,316,332,Singleton,0.9518072289156626,0,0,11,11,Singleton,1.0
M_s_0798__91__lp__93__+M_s_2850__91__lp__93__+M_s_3053__91__lp__93__,0,16,316,332,Singleton,0.9518072289156626,0,0,11,11,Singleton,1.0
M_s_0182__91__m__93__+M_s_0376__91__m__93__+M_s_0807__91__m__93__,0,316,16,332,Concordant,0.9518072289156626,0,11,0,11,Concordant,1.0
M_s_3123__91__erm__93__,0,17,315,332,Singleton,0.9487951807228916,0,0,11,11,Singleton,1.0
M_s_0803__91__c__93__+M_s_3581__91__c__93__,0,17,315,332,Singleton,0.9487951807228916,0,1,10,11,Singleton,0.9090909090909091
M_s_1302__91__c__93__,0,17,315,332,Singleton,0.9487951807228916,0,0,11,11,Singleton,1.0
M_s_0803__91__c__93__+M_s_3576__91__c__93__,0,17,315,332,Singleton,0.9487951807228916,0,1,10,11,Singleton,0.9090909090909091
M_s_3118__91__erm__93__,0,17,315,332,Singleton,0.9487951807228916,0,0,11,11,Singleton,1.0
M_s_3121__91__erm__93__,0,17,315,332,Singleton,0.9487951807228916,0,0,11,11,Singleton,1.0
M_s_0803__91__c__93__+M_s_3583__91__c__93__,0,17,315,332,Singleton,0.9487951807228916,0,1,10,11,Singleton,0.9090909090909091
M_s_2834__91__erm__93__+M_s_3090__91__erm__93__,0,17,315,332,Singleton,0.9487951807228916,0,0,11,11,Singleton,1.0
M_s_3119__91__erm__93__,0,17,315,332,Singleton,0.9487951807228916,0,0,11,11,Singleton,1.0
M_s_3120__91__erm__93__,0,17,315,332,Singleton,0.9487951807228916,0,0,11,11,Singleton,1.0
M_s_3122__91__erm__93__,0,17,315,332,Singleton,0.9487951807228916,0,0,11,11,Singleton,1.0
M_s_2783__91__erm__93__+M_s_2956__91__erm__93__+M_s_3083__91__erm__93__,0,18,314,332,Singleton,0.9457831325301205,0,0,11,11,Singleton,1.0
M_s_0794__91__c__93__+M_s_1003__91__c__93__,0,18,314,332,Singleton,0.9457831325301205,0,0,11,11,Singleton,1.0
M_s_0555__91__c__93__,0,18,314,332,Singleton,0.9457831325301205,0,0,11,11,Singleton,1.0
M_s_3046__91__lp__93__,0,19,313,332,Singleton,0.9427710843373494,0,0,11,11,Singleton,1.0
M_s_3050__91__lp__93__,0,19,313,332,Singleton,0.9427710843373494,0,0,11,11,Singleton,1.0
M_s_3090__91__erm__93__+M_s_3117__91__erm__93__,0,19,313,332,Singleton,0.9427710843373494,0,0,11,11,Singleton,1.0
M_s_3061__91__lp__93__,0,19,313,332,Singleton,0.9427710843373494,0,0,11,11,Singleton,1.0
M_s_3059__91__lp__93__,0,19,313,332,Singleton,0.9427710843373494,0,0,11,11,Singleton,1.0
M_s_3044__91__lp__93__,0,19,313,332,Singleton,0.9427710843373494,0,0,11,11,Singleton,1.0
M_s_3069__91__lp__93__,0,19,313,332,Singleton,0.9427710843373494,0,0,11,11,Singleton,1.0
M_s_3056__91__lp__93__,0,19,313,332,Singleton,0.9427710843373494,0,0,11,11,Singleton,1.0
M_s_3061__91__lp__93__+M_s_3657__91__lp__93__,0,19,313,332,Singleton,0.9427710843373494,0,0,11,11,Singleton,1.0
M_s_3058__91__lp__93__,0,19,313,332,Singleton,0.9427710843373494,0,0,11,11,Singleton,1.0
M_s_3052__91__lp__93__,0,19,313,332,Singleton,0.9427710843373494,0,0,11,11,Singleton,1.0
M_s_3080__91__lp__93__,0,19,313,332,Singleton,0.9427710843373494,0,0,11,11,Singleton,1.0
M_s_3062__91__lp__93__,0,19,313,332,Singleton,0.9427710843373494,0,0,11,11,Singleton,1.0
M_s_0793__91__ce__93__+M_s_3324__91__ce__93__+M_s_3327__91__ce__93__,0,19,313,332,Singleton,0.9427710843373494,0,1,10,11,Singleton,0.9090909090909091
M_s_3074__91__lp__93__,0,19,313,332,Singleton,0.9427710843373494,0,0,11,11,Singleton,1.0
M_s_3063__91__lp__93__,0,19,313,332,Singleton,0.9427710843373494,0,0,11,11,Singleton,1.0
