model,n_params,AIC,R2,delta_AIC
size only,2,-2704.9887740737604,0.05193158987313019,1.3976796125298279
giant only,2,-2700.4066448213753,0.0380815983429005,5.979808864914958
size + giant,3,-2706.38645368629,0.061573316902176885,0
