predictor,estimate,std_error,t_value,p_value,vif
(Intercept),0.008199075748227369,0.020144405483519177,0.4070150273203799,0.6842787437936364,NA
log_total_split_reactions,0.007897196595024202,0.0020176216126339594,3.9141118163948443,1.11662882796848e-4,1.048405396042607
log_acr,2.2860290189512592e-4,3.0200503029311805e-4,0.7569506430844878,0.4496562096190857,1.048405396042607
