predictor,estimate,std_error,t_value,p_value
(Intercept),-88.17144555905634,66.06662982721151,-1.3345836739312573,0.18299520745180775
log_total_split_reactions,27.73923184975183,20.635944320462322,1.3442191653059457,0.17986356613183307
log_giant_reactions,-19.93300717366901,19.30190419888385,-1.0326964100682696,0.30255357018087037
